,0,1,2,3
0,"Majestic Theatre, Madison, WI",43.0745219,-89.3808955,14
1,"The Sylvee, Madison, WI",43.0806397,-89.374313,1
2,"Orpheum Theater, Madison, WI",43.074929,-89.3887878,1
3,"High Noon Saloon, Madison, WI",43.079581,-89.3764842,3
